status,alias,product,component,version,hardware,importance,assignee
NEW,None,z_Archived,Geclipse,unspecified,All All,P3 enhancement ,Mathias Stümpert
NEW,None,Platform,User,3.4,PC Windows XP,P3 enhancement ,platform-ua-inbox
NEW,None,Platform,Search,3.3.1,PC Windows XP,P3 normal with 1 vote ,Platform-Search-Inbox
ASSIGNED,None,Platform,Team,3.4,PC Windows XP,P3 normal ,Platform Team Inbox
NEW,None,Platform,SWT,3.4,PC Windows XP,P3 enhancement ,Steve Northover
ASSIGNED,None,Platform,Debug,3.4,PC Mac OS X - Carbon (unsup.),P3 normal ,Platform-Debug-Inbox
NEW,None,Platform,UI,3.4,PC Linux,P3 normal ,Platform UI Triaged
NEW,None,JDT,Core,3.4,All All,P3 normal ,Manoj Palat
NEW,None,Platform,CVS,3.4,PC Windows Vista,P3 normal ,platform-cvs-inbox
NEW,None,Platform,SWT,3.4,PC Windows XP,P3 normal ,Felipe Heidrich
NEW,None,Target Management,RSE,3.0,PC Windows XP,P3 enhancement ,David McKnight
NEW,None,Platform,UI,3.4,All All,P3 enhancement ,Platform UI Triaged
NEW,None,GMF-Runtime,General,2.1,All All,P3 normal,Chris McGee
NEW,None,WTP Webservices,wst.wsdl,3.0,All All,P3 enhancement ,Project Inbox
NEW,None,EclipseLink,Foundation,unspecified,All All,P5 normal with 1 vote ,Project Inbox
NEW,None,Platform,SWT,3.4,PC Windows XP,P3 normal ,Carolyn MacLeod
NEW,None,Platform,SWT,3.4,PC Windows 2000,P3 normal ,Steve Northover
ASSIGNED,None,z_Archived,Geclipse,unspecified,PC Linux,P3 normal ,Pawel Wolniewicz
NEW,None,Platform,CVS,3.2.1,PC Windows XP,P3 major ,platform-cvs-inbox
NEW,None,Platform,UI,3.4,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,PDE,UI,3.3,PC Windows XP,P3 normal ,Jacek Pospychala
ASSIGNED,None,RAP,RWT,1.0,All All,P3 normal ,Project Inbox
NEW,None,Platform,Doc,3.4,All All,P3 normal ,Boris Bokowski
NEW,None,Equinox,p2,3.4,PC Windows XP,P3 normal ,P2 Inbox
NEW,None,Equinox,p2,3.4,PC Windows XP,P3 normal ,P2 Inbox
NEW,None,EMFT,Website,unspecified,PC Linux,P3 normal ,Nick Boldt
NEW,None,Platform,SWT,3.4,PC Windows XP,P3 normal with 7 votes ,Grant Gayed
NEW,None,Platform,SWT,3.4,PC Windows XP,P3 enhancement ,Carolyn MacLeod
ASSIGNED,None,Platform,Debug,3.4,All All,P4 minor ,Platform-Debug-Inbox
NEW,None,Platform,UI,3.3.2,PC Linux,P3 normal ,Platform UI Triaged
NEW,None,PDE,Incubators,3.4,PC Windows XP,P3 enhancement ,PDE-Incubator-Inbox
NEW,None,Platform,SWT,3.4,PC Windows XP,P3 enhancement ,Steve Northover
NEW,None,Platform,User,3.4,PC Mac OS X - Carbon (unsup.),P3 normal ,platform-ua-inbox
NEW,None,Platform,Team,3.3.2,PC Windows XP,P3 minor ,Platform Team Inbox
NEW,None,Platform,SWT,3.3,All All,P3 normal ,Carolyn MacLeod
NEW,None,Platform,Doc,3.4,PC Mac OS X - Carbon (unsup.),P3 normal ,Platform-Doc-Inbox
NEW,None,WTP Source Editing,wst.xsd,3.0,PC All,P3 normal ,wst.xsd-triaged
NEW,None,Platform,Doc,3.4,All All,P3 normal ,Platform-Doc-Inbox
NEW,None,EclipseLink,Foundation,unspecified,All All,P2 major ,Project Inbox
NEW,None,Platform,UI,3.4,PC Linux,P3 normal ,Platform UI Triaged
NEW,None,WTP Releng,releng,3.10,PC Windows XP,P3 normal ,webtools.releng
NEW,None,PDE,UI,3.4,PC Windows XP,P3 minor ,PDE-UI-Inbox
ASSIGNED,None,z_Archived,Geclipse,unspecified,All All,P3 enhancement ,Ariel Garcia
NEW,None,JDT,Core,3.4,PC Windows XP,P3 normal ,JDT-Core-Inbox
NEW,None,Platform,UI,3.4,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,Platform,SWT,3.4,PC Windows XP,P3 normal ,Steve Northover
ASSIGNED,None,JDT,UI,3.4,PC Windows XP,P3 minor ,JDT-UI-Inbox
NEW,None,GMF-Tooling,Core,2.1,All All,P3 enhancement ,Artem Tikhomirov
NEW,None,PDE,UI,3.4,PC Windows XP,P3 normal ,Vikas Chandra
NEW,None,CDT,cdt-build,4.0.3,PC Linux,P3 normal ,cdt-build-inbox@eclipse.org
NEW,None,Platform,UI,3.3.2,PC All,P3 normal ,Platform UI Triaged
NEW,None,PDE,UI,3.3,PC Windows XP,P3 minor ,PDE-UI-Inbox
NEW,None,GMF-Runtime,General,2.0,All All,P3 normal,Inbox
ASSIGNED,None,JDT,UI,3.4,All All,P3 normal ,JDT-UI-Inbox
NEW,None,Platform,UI,3.4,PC Mac OS X - Carbon (unsup.),P3 normal ,Platform UI Triaged
ASSIGNED,None,Platform,Compare,3.4,PC Windows XP,P3 normal with 1 vote ,Platform-Compare-Inbox
NEW,None,Dali JPA Tools,Framework,2.0,PC Windows XP,P2 normal ,Neil Hauge
NEW,None,PDE,UI,3.3.2,PC Windows XP,P3 normal ,PDE-UI-Inbox
NEW,None,Platform,SWT,4.7,PC Linux-GTK,P3 normal ,Platform-SWT-Inbox
NEW,None,WTP Java EE Tools,jst.j2ee,3.0,PC Linux-GTK,P2 normal ,Roberto Sanchez Herrera
NEW,None,JDT,Core,3.3.2,PC Windows XP,P3 minor ,David Audel
NEW,None,PDE,UI,3.4,PC Windows Vista,P3 minor with 1 vote ,PDE-UI-Inbox
NEW,None,z_Archived,Geclipse,unspecified,PC Linux,P3 minor ,Jie Tao
NEW,None,GEF,GEF-Legacy,unspecified,All All,P3 enhancement ,gef-inbox
ASSIGNED,None,z_Archived,Higgins,unspecified,PC Windows XP,P3 normal ,Michael McIntosh
NEW,None,Platform,UI,3.2.2,PC Mac OS X - Carbon (unsup.),P3 normal ,Platform UI Triaged
NEW,None,Equinox,Incubator.DeviceKit,unspecified,PC Windows XP,P3 normal ,equinox.incubator-inbox
NEW,None,PDE,API,3.4,PC Windows XP,P3 normal ,PDE API Tools Inbox
NEW,None,Platform,SWT,3.4,PC Windows XP,P3 normal ,Platform-SWT-Inbox
ASSIGNED,None,Platform,Text,3.4,All All,P5 minor ,Platform-Text-Inbox
NEW,None,Platform,Team,3.4,PC Windows XP,P3 normal ,Platform Team Inbox
NEW,None,PDE,UI,3.3.1,PC Windows XP,P3 normal ,PDE-UI-Inbox
NEW,None,AspectJ,Compiler,unspecified,Macintosh Mac OS X - Carbon (unsup.),P4 normal ,aspectj inbox
NEW,None,Equinox,p2,3.4,PC Windows XP,P4 minor ,Ian Bull
NEW,None,Platform,UI,3.4,PC Linux-GTK,P3 normal with 2 votes ,Platform UI Triaged
NEW,None,Platform,UI,3.4,PC Linux-GTK,P3 normal ,Platform UI Triaged
NEW,None,Data Tools,SQL,Ganymede,PC Windows XP,P3 normal ,dtp.sqldevtools-inbox
NEW,None,Data Tools,SQL,Ganymede,PC Windows XP,P3 normal ,dtp.sqldevtools-inbox
ASSIGNED,None,Platform,UI,3.4,Macintosh Mac OS X - Carbon (unsup.),P3 normal ,Platform UI Triaged
NEW,None,Equinox,Incubator.DeviceKit,unspecified,PC Windows XP,P3 normal ,equinox.incubator-inbox
NEW,None,Equinox,Incubator.DeviceKit,unspecified,PC Windows XP,P3 critical ,equinox.incubator-inbox
ASSIGNED,None,JDT,UI,3.3.2,All All,P3 normal ,Kalyan Prasad Tatavarthi
NEW,None,Platform,Team,3.4,PC Linux,P3 minor ,Platform Team Inbox
ASSIGNED,None,RAP,JFace,1.0,All All,P3 normal ,Project Inbox
NEW,None,Platform,UI,3.4,PC Linux,P3 normal ,Platform UI Triaged
NEW,None,Platform,SWT,3.4,PC Mac OS X - Carbon (unsup.),P3 normal ,Silenio Quarti
ASSIGNED,None,JDT,UI,3.4,PC Windows XP,P3 major ,JDT-UI-Inbox
NEW,None,Platform,Releng,3.4,All All,P3 normal ,Platform-Releng-Inbox
ASSIGNED,None,Platform,UI,3.4,PC Windows XP,P3 major ,Platform UI Triaged
NEW,None,Platform,IDE,3.4,All All,P3 enhancement ,Platform UI Triaged
NEW,None,Platform,UI,3.4,All All,P3 major with 4 votes ,Platform UI Triaged
NEW,None,Platform,User,3.4,PC Windows XP,P3 normal ,platform-ua-inbox
ASSIGNED,None,Platform,UI,3.4,PC Windows XP,P3 major with 1 vote ,Platform UI Triaged
NEW,None,Platform,SWT,3.4,PC Windows XP,P3 normal ,Silenio Quarti
NEW,None,BIRT,Chart,2.3.0,PC Linux,P3 normal ,Heng Li
NEW,None,Data Tools,Table,1.6.1,PC Windows XP,P3 enhancement ,Brian Payton
NEW,None,Target Management,RSE,3.0,All All,P4 enhancement ,David McKnight
ASSIGNED,None,Platform,Team,3.4,PC Windows XP,P3 enhancement with 1 vote ,Platform Team Inbox
ASSIGNED,None,Target Management,RSE,3.0,All All,P3 normal ,dsdp.tm.rse-inbox
ASSIGNED,None,CDT,cdt-debug-dsf,0 DD 1.1,All All,P3 normal ,Project Inbox
NEW,None,Platform,CVS,3.4,PC Windows Vista,P3 normal with 1 vote ,platform-cvs-inbox
NEW,None,JDT,Debug,3.4,PC Windows XP,P3 normal with 2 votes ,JDT-Debug-Inbox
NEW,None,CDT,cdt-debug,4.0.3,PC Windows XP,P3 normal ,cdt-launch-inbox@eclipse.org
NEW,None,Platform,User,3.4,PC All,P3 normal ,platform-ua-inbox
NEW,None,Platform,SWT,3.4,Macintosh Mac OS X - Carbon (unsup.),P3 normal ,Silenio Quarti
NEW,None,JDT,Core,3.4,PC Windows XP,P3 normal ,David Audel
ASSIGNED,None,Equinox,p2,3.4,PC Windows Vista,P3 enhancement ,P2 Inbox
ASSIGNED,None,CDT,cdt-debug-dsf,0 DD 1.0,All All,P3 normal ,Project Inbox
NEW,None,Target Management,RSE,3.0,PC Windows XP,P5 minor ,David Dykstal
NEW,None,Platform,User,3.4,PC Windows XP,P3 normal ,platform-ua-inbox
NEW,None,PDE,UI,3.4,PC Windows XP,P3 normal ,PDE-UI-Inbox
NEW,None,JDT,Core,3.3.2,PC Windows XP,P3 normal ,David Audel
NEW,None,Platform,SWT,3.4,PC Windows XP,P3 normal ,Grant Gayed
NEW,None,JDT,Core,3.4,PC All,P3 normal ,JDT-Core-Inbox
NEW,None,PDT,Debugger,2.0.0,PC Linux,P3 normal ,PHP Debug
NEW,None,Platform,UI,3.4,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,Platform,UI,3.4,PC Windows XP,P3 enhancement ,Platform UI Triaged
NEW,None,Mylyn Tasks,Trac,3.6,PC Windows XP,P3 enhancement with 1 vote ,Project Inbox
NEW,None,Platform,UI,3.4,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,Platform,UI,3.4,PC Windows XP,P3 normal ,Platform UI Triaged
ASSIGNED,None,Platform,UI,3.4,PC All,P3 enhancement ,Platform UI Triaged
NEW,None,Target Management,RSE,3.0,All All,P3 normal ,David Dykstal
ASSIGNED,None,Target Management,RSE,3.0,All All,P3 normal ,David Dykstal
NEW,None,Platform,UI,3.2.2,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,Platform,User,3.2.2,PC Windows XP,P3 normal ,platform-ua-inbox
NEW,None,PDE,API,3.4,PC Linux-GTK,P3 minor ,PDE API Tools Inbox
ASSIGNED,None,Platform,Team,3.4,PC All,P3 normal ,Platform Team Inbox
ASSIGNED,None,z_Archived,Cosmos,unspecified,All All,P3 enhancement ,Jimmy Mohsin
NEW,None,Platform,UI,3.4,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,Platform,UI,3.4,PC Linux-GTK,P3 normal ,Platform UI Triaged
NEW,None,JDT,Core,3.4,PC Windows XP,P3 normal with 1 vote ,JDT-Core-Inbox
NEW,None,Target Management,RSE,3.0,PC Windows XP,P3 normal ,David McKnight
NEW,None,JDT,Core,3.4,PC All,P3 normal ,Srikanth Sankaran
NEW,None,EclipseLink,MOXy,unspecified,PC Windows XP,P3 enhancement ,Blaise Doughan
NEW,None,Platform,CVS,3.4,PC Windows XP,P3 normal ,platform-cvs-inbox
NEW,None,Platform,UI,3.4,PC Mac OS X - Carbon (unsup.),P3 normal ,Platform UI Triaged
NEW,None,WTP Source Editing,wst.xml,3.0,PC Windows XP,P3 enhancement with 1 vote ,wst.xml-triaged
NEW,None,Equinox,p2,3.4,PC Windows XP,P3 normal ,P2 Inbox
NEW,None,Platform,SWT,3.4,PC Windows XP,P3 normal ,Felipe Heidrich
NEW,None,Platform,UI,3.4,PC All,P3 normal ,Platform UI Triaged
ASSIGNED,None,Platform,Compare,3.4,PC Windows XP,P3 normal ,Platform-Compare-Inbox
NEW,None,GMF-Tooling,Core,unspecified,PC Linux,P3 enhancement ,Project Inbox
NEW,None,Platform,UI,3.3.1,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,Platform,UI,3.4,All Windows XP,P3 normal ,Platform UI Triaged
NEW,None,PDE,UI,3.4,PC Windows XP,P3 enhancement ,PDE-UI-Inbox
ASSIGNED,None,Platform,CVS,3.4,PC Windows XP,P3 trivial ,platform-cvs-inbox
NEW,None,Target Management,RSE,3.0,All All,P3 normal ,David McKnight
NEW,None,Platform,Ant,3.4,PC Windows XP,P3 normal ,Platform-Ant-Inbox
NEW,None,Platform,UI,3.4,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,Target Management,RSE,3.0,All All,P3 normal ,dsdp.tm.rse-inbox
ASSIGNED,None,Platform,CVS,3.4,PC Windows XP,P3 minor ,platform-cvs-inbox
ASSIGNED,None,JDT,Text,3.4,PC HP-UX,P3 minor ,JDT-Text-Inbox
NEW,None,WTP ServerTools,jst.server,3.0,PC Linux-GTK,P3 normal ,Naci Dai
NEW,None,PDE,UI,3.4,PC Windows XP,P3 enhancement ,PDE-UI-Inbox
NEW,None,PDE,UI,3.4,PC All,P3 normal ,PDE-UI-Inbox
NEW,None,PDE,UI,3.4,PC Windows XP,P3 enhancement ,PDE-UI-Inbox
ASSIGNED,None,CDT,cdt-debug-dsf,0 DD 1.1,PC Linux,P3 normal ,Project Inbox
NEW,None,Target Management,RSE,3.0,PC Linux-GTK,P2 normal ,David Dykstal
NEW,None,BIRT,Report,2.3.0,All All,P3 enhancement ,Wei Yan
ASSIGNED,None,CDT,cdt-build,5.0,PC Windows XP,P3 normal ,cdt-build-inbox@eclipse.org
NEW,None,JDT,UI,3.4,PC Windows XP,P3 normal ,JDT-UI-Inbox
NEW,None,Platform,SWT,3.4,PC Windows XP,P3 normal ,Steve Northover
NEW,None,Platform,UI,3.4,PC Mac OS X - Carbon (unsup.),P3 enhancement ,Platform UI Triaged
NEW,None,Target Management,RSE,unspecified,PC All,P3 enhancement ,dsdp.tm.rse-inbox
ASSIGNED,None,Equinox,Compendium,3.4,PC Linux-GTK,P3 major ,equinox.compendium-inbox
ASSIGNED,None,Platform,Text,3.4,All All,P3 major ,Platform-Text-Inbox
NEW,None,Platform,UI,3.4,All All,P3 minor ,Platform UI Triaged
NEW,None,JDT,Core,3.4,PC Windows XP,P3 normal ,JDT-Core-Inbox
NEW,None,CDT,cdt-core,5.0,PC Windows XP,P3 normal ,Project Inbox
NEW,None,Java Server Faces,JSF,3.0,PC Linux-GTK,P3 normal ,Debajit Adhikary
NEW,None,Platform,UI,3.4,PC Linux,P3 normal ,Platform UI Triaged
NEW,None,Web Tools,documentation,3.0,PC Windows XP,P3 normal ,Kate Price
NEW,None,CDT,cdt-debug,4.0.3,PC Windows XP,P3 normal with 1 vote ,cdt-debug-inbox@eclipse.org
NEW,None,Target Management,RSE,3.0,PC Windows XP,P3 minor ,David McKnight
NEW,None,JDT,Core,3.4,PC All,P3 normal ,JDT-Core-Inbox
NEW,None,GMF-Tooling,Core,2.0,PC Linux,P3 enhancement ,Project Inbox
ASSIGNED,None,Platform,UI,3.3,PC Windows XP,P3 normal ,Francis Upton IV
NEW,None,Target Management,RSE,3.0,All All,P3 enhancement ,David McKnight
NEW,None,Platform,UI,3.4,All All,P3 normal ,Platform UI Triaged
NEW,None,Platform,UI,3.4,All All,P3 normal ,Platform UI Triaged
NEW,None,Platform,SWT,3.4,Macintosh Mac OS X - Carbon (unsup.),P3 normal ,Carolyn MacLeod
ASSIGNED,None,RAP,JFace,1.0,All All,P3 normal ,Project Inbox
ASSIGNED,None,Equinox,p2,unspecified,All All,P3 enhancement ,P2 Inbox
NEW,None,EclipseLink,Documentation,unspecified,PC Windows XP,P2 minor ,Project Inbox
ASSIGNED,None,JDT,UI,3.4,PC Windows XP,P3 normal with 2 votes ,JDT-UI-Inbox
NEW,None,CDT,cdt-debug,5.0,PC Windows XP,P3 normal ,Ken Ryall
NEW,None,CDT,cdt-debug,6.0,All All,P3 major ,cdt-debug-inbox@eclipse.org
NEW,None,Platform,SWT,3.4,PC Windows XP,P3 normal ,Silenio Quarti
ASSIGNED,None,Platform,Search,3.4,All All,P3 enhancement with 1 vote ,Platform-Search-Inbox
NEW,None,Platform,User,3.4,PC Windows XP,P3 enhancement ,platform-ua-inbox
ASSIGNED,None,Equinox,Framework,3.4,PC Windows XP,P3 normal ,equinox.framework-inbox
NEW,None,GMF-Runtime,General,unspecified,PC Windows XP,P3 enhancement,Inbox
NEW,None,GMF-Tooling,Core,unspecified,PC Windows Vista,P3 normal ,Artem Tikhomirov
NEW,None,GMF-Tooling,Core,unspecified,PC Windows Vista,P3 normal ,Artem Tikhomirov
NEW,None,GMF-Tooling,Core,2.0.2,PC Windows XP,P3 normal ,Project Inbox
ASSIGNED,None,Platform,CVS,3.4,All All,P3 enhancement ,platform-cvs-inbox
NEW,None,Platform,UI,3.3.2,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,Platform,UI,3.4,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,WTP EJB Tools,jst.ejb,3.4.0,PC Windows 7,P3 enhancement ,Kaloyan Raev
NEW,None,PDE,UI,3.4,PC Windows XP,P3 enhancement ,PDE-UI-Inbox
NEW,None,EclipseLink,Foundation,unspecified,All All,P5 normal ,Project Inbox
NEW,None,Platform,SWT,3.4,PC Windows XP,P3 enhancement ,Grant Gayed
NEW,None,Platform,UI,3.4,All All,P3 enhancement with 1 vote ,Platform UI Triaged
NEW,None,Equinox,p2,3.4,PC Windows XP,P3 normal ,P2 Inbox
NEW,None,PDE,UI,3.4,PC Windows Vista,P3 enhancement ,PDE-UI-Inbox
NEW,None,z_Archived,BPMN,unspecified,PC Mac OS X - Carbon (unsup.),P3 normal ,Project Inbox
NEW,None,GMF-Runtime,General,2.1,PC Windows XP,P3 normal,Anthony Hunter
NEW,None,Platform,SWT,3.3.2,PC Windows XP,P3 normal ,Grant Gayed
NEW,None,Platform,UI,3.4,All Windows All,P3 normal ,Platform UI Triaged
NEW,None,CDT,cdt-core,5.0,PC Linux-GTK,P3 normal with 1 vote ,James Blackburn
ASSIGNED,None,Platform,Compare,3.4,PC Windows XP,P3 normal ,Platform-Compare-Inbox
NEW,None,PDE,UI,3.4,PC Windows XP,P3 normal ,PDE-UI-Inbox
NEW,None,CDT,cdt-core,5.0,PC Linux-GTK,P3 normal with 1 vote ,Project Inbox
ASSIGNED,None,CDT,cdt-debug-dsf,0 DD 1.1,All All,P3 normal ,Project Inbox
NEW,None,WTP Common Tools,wst.common,1.5,PC Windows XP,P3 normal ,Chuck Bridgham
NEW,None,JDT,Core,3.4,PC Windows XP,P3 major ,JDT-Core-Inbox
NEW,None,GMF-Runtime,General,2.1,PC Windows XP,P3 normal,Anthony Hunter
NEW,None,PDE,UI,3.4,PC Windows XP,P3 normal ,PDE-UI-Inbox
NEW,None,Platform,IDE,3.4,PC Mac OS X - Carbon (unsup.),P3 normal ,Platform UI Triaged
NEW,None,Platform,SWT,3.4,PC Windows XP,P3 normal ,Grant Gayed
NEW,None,GMF-Runtime,General,2.1,PC Windows XP,P3 normal,Anthony Hunter
ASSIGNED,None,Platform,UI,3.4,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,Platform,UI,3.4,PC Linux,P3 normal ,Platform UI Triaged
ASSIGNED,None,JDT,UI,3.4,All All,P3 normal ,JDT-UI-Inbox
NEW,None,GMF-Tooling,Core,2.1,PC Windows XP,P3 normal ,Artem Tikhomirov
NEW,None,GMF-Runtime,General,unspecified,PC Windows Vista,P3 normal,Inbox
NEW,None,GMF-Tooling,Core,unspecified,All All,P3 normal ,gmf.generation-inbox
NEW,None,JDT,Debug,3.4,All All,P3 normal ,Sarika Sinha
NEW,None,EclipseLink,Build,unspecified,PC Windows XP,P3 normal ,Edwin Tang
NEW,None,Platform,Releng,3.4,PC Windows XP,P3 normal ,Platform-Releng-Inbox
NEW,None,PDE,UI,3.4,PC Windows XP,P3 normal ,PDE-UI-Inbox
NEW,None,Equinox,p2,3.4,PC Windows XP,P3 enhancement ,Pascal Rapicault
NEW,None,Platform,SWT,3.3,PC Windows Vista,P3 normal ,Felipe Heidrich
NEW,None,WTP ServerTools,wst.server,3.0,PC Windows XP,P3 normal ,Angel Vera
NEW,None,AJDT,UI,unspecified,Macintosh All,P3 minor ,Andrew Eisenberg
NEW,None,Community,Project,unspecified,PC Windows XP,P3 normal ,Eric Poirier
ASSIGNED,None,JDT,Debug,3.4,All All,P4 enhancement ,JDT-Debug-Inbox
NEW,None,Mylyn,Tasks,unspecified,All All,P3 enhancement ,Project Inbox
NEW,None,Platform,UI,3.4,All All,P3 enhancement ,Platform UI Triaged
ASSIGNED,None,EMF,cdo.core,4.8,PC Windows XP,P2 enhancement ,Stefan Winkler
NEW,None,PDE,UI,3.4,PC Windows XP,P3 minor ,PDE-UI-Inbox
NEW,None,JDT,Core,3.4,PC All,P3 normal ,JDT-Core-Inbox
ASSIGNED,None,Equinox,Components,unspecified,PC Windows XP,P3 normal ,equinox.compendium-inbox
ASSIGNED,None,Platform,Text,3.3,All All,P3 enhancement ,Platform-Text-Inbox
NEW,None,Platform,SWT,3.3.1,PC Windows XP,P3 normal ,Steve Northover
NEW,None,Platform,SWT,3.4,All All,P3 major ,Veronika Irvine
NEW,None,WTP Webservices,wst.wsi,3.0,PC Windows XP,P3 normal ,Project Inbox
NEW,None,Platform,UI,3.3.2,PC Linux,P3 normal with 1 vote ,Platform UI Triaged
NEW,None,Platform,UI,3.4,PC All,P3 enhancement ,Platform UI Triaged
NEW,None,Platform,UI,3.4,All All,P3 minor ,Platform UI Triaged
NEW,None,Platform,SWT,3.4,PC Mac OS X - Carbon (unsup.),P3 enhancement ,Silenio Quarti
ASSIGNED,None,CDT,cdt-debug-dsf-gdb,0 DD 1.1,All All,P3 enhancement ,Project Inbox
NEW,None,EclipseLink,JPA,unspecified,PC Windows XP,P2 normal ,Project Inbox
NEW,None,Platform,UI,3.4,PC Windows XP,P3 enhancement ,Boris Bokowski
NEW,None,Platform,UI,3.4,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,Platform,UI,3.4,PC Windows XP,P3 normal ,Platform UI Triaged
ASSIGNED,None,Target Management,RSE,3.0,All All,P3 normal ,dsdp.tm.rse-inbox
ASSIGNED,None,Target Management,RSE,3.0,All All,P3 normal ,dsdp.tm.rse-inbox
NEW,None,Platform,Resources,3.3,PC Linux-GTK,P3 minor ,Platform-Resources-Inbox
NEW,None,Platform,UI,3.4,All All,P3 normal ,Platform UI Triaged
ASSIGNED,None,JDT,UI,3.4,PC Windows XP,P5 normal ,JDT-UI-Inbox
NEW,None,WTP Incubator,wtp.inc.facelets,3.0,PC Windows XP,P3 enhancement ,Project Inbox
NEW,None,GEF,GEF-Legacy,3.4,All All,P3 normal with 3 votes ,gef-inbox
NEW,None,Java Server Faces,Core,3.0,PC Windows XP,P3 enhancement ,Cameron Bateman
NEW,None,OCL,Core,1.2.0,PC Linux,P3 enhancement ,OCL Inbox
NEW,None,Equinox,p2,unspecified,PC Windows XP,P3 normal ,P2 Inbox
NEW,None,EclipseLink,Foundation,unspecified,PC Windows XP,P3 enhancement with 2 votes ,Project Inbox
ASSIGNED,None,CDT,cdt-debug-dsf,0 DD 1.1,All All,P3 minor ,Project Inbox
ASSIGNED,None,CDT,cdt-debug-dsf-gdb,0 DD 1.1,All All,P3 normal ,Project Inbox
ASSIGNED,None,CDT,cdt-debug-dsf,0 DD 1.1,All All,P3 normal ,Project Inbox
ASSIGNED,None,CDT,cdt-debug-dsf,0 DD 1.1,All All,P3 normal ,Project Inbox
NEW,None,GMF-Runtime,General,unspecified,PC Windows XP,P3 normal,Inbox
ASSIGNED,None,CDT,cdt-debug-dsf,0 DD 1.1,All All,P3 enhancement ,Project Inbox
NEW,None,Platform,UI,3.3,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,Platform,UI,3.3.2,PC Windows XP,P3 normal with 1 vote ,Platform UI Triaged
NEW,None,PDE,Incubators,3.3.2,PC Windows XP,P3 normal ,PDE-Incubator-Inbox
NEW,None,Platform,UI,3.3.2,PC Windows Vista,P3 normal ,Platform UI Triaged
NEW,None,ATF,Mozilla,unspecified,Macintosh Mac OS X - Carbon (unsup.),P3 major ,Inbox
ASSIGNED,None,z_Archived,Geclipse,unspecified,All All,P3 enhancement ,Ariel Garcia
NEW,None,Platform,Releng,3.4,PC Windows XP,P3 normal ,Platform-Releng-Inbox
NEW,None,Platform,User,3.4,PC Windows XP,P3 normal ,platform-ua-inbox
NEW,None,Platform,Team,3.4,All All,P3 normal with 1 vote ,Platform Team Inbox
NEW,None,Equinox,Incubator,3.4,All All,P3 normal ,equinox.incubator-inbox
NEW,None,Platform,SWT,3.4,PC Windows XP,P3 major ,Grant Gayed
NEW,None,Platform,IDE,3.4,PC Windows XP,P3 normal ,Platform UI Triaged
ASSIGNED,None,JDT,Text,3.4,All All,P3 normal ,JDT-Text-Inbox
NEW,None,Equinox,Incubator,unspecified,All All,P3 normal ,equinox.incubator-inbox
NEW,None,Platform,SWT,3.2.2,PC Windows XP,P3 normal with 2 votes ,Steve Northover
NEW,None,JDT,Core,3.4,PC All,P3 enhancement ,JDT-Core-Inbox
NEW,None,PDE,UI,3.4,PC Windows Vista,P3 normal ,PDE-UI-Inbox
NEW,None,Platform,Releng,3.4,PC Windows XP,P3 normal ,Platform-Releng-Inbox
NEW,None,EclipseLink,Foundation,unspecified,PC Windows XP,P5 minor ,Project Inbox
NEW,None,Platform,CVS,3.3.2,PC Windows XP,P3 normal with 2 votes ,platform-cvs-inbox
NEW,None,Platform,UI,3.4,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,z_Archived,OHF,unspecified,PC Windows XP,P3 normal ,Lee Surprenant
NEW,None,GMF-Tooling,Core,unspecified,PC All,P3 normal ,gmf.templates-inbox
NEW,None,Community,Bugzilla,unspecified,PC Windows XP,P3 enhancement ,Eclipse Webmaster
NEW,None,PDE,UI,3.4,All All,P3 enhancement ,PDE-UI-Inbox
NEW,None,Mylyn Tasks,Bugzilla,unspecified,All All,P4 enhancement ,Project Inbox
NEW,None,EclipseLink,Foundation,unspecified,All All,P5 normal ,Mitesh Meswani
NEW,None,GEF,GEF-Legacy,3.4,PC Windows XP,P3 minor ,gef-inbox
ASSIGNED,None,EclipseLink,JPA,unspecified,PC Windows XP,P5 normal with 1 vote ,Project Inbox
NEW,None,Platform,UI,3.4,All All,P3 enhancement ,Platform UI Triaged
NEW,None,Platform,UI,3.4,PC Mac OS X - Carbon (unsup.),P3 normal ,Platform UI Triaged
NEW,None,Platform,CVS,3.4,PC Windows XP,P3 normal ,platform-cvs-inbox
NEW,None,WTP Webservices,wst.wsdl,3.0,PC Windows XP,P2 normal with 1 vote ,Project Inbox
NEW,None,EclipseLink,JPA,unspecified,PC Windows XP,P5 normal ,Project Inbox
NEW,None,Platform,UI,3.4,PC Windows XP,P3 enhancement ,Platform UI Triaged
